.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
69  3  0.6269  38  e  1  4342760.44444444|279  3  0.529  46  ne  2  4679816.4
69  3  0.6269  38  e  1  4342760.44444444|280  3  0.7989  37  ne  2  4682084
69  3  0.6269  38  e  1  4342760.44444444|281  2  0.7605  53  ne  2  4696401.2
69  3  0.6269  38  e  1  4342760.44444444|283  2  0.6747  45  ne  2  4693236.8
69  3  0.6269  38  e  1  4342760.44444444|284  2  0.6082  38  ne  2  4699498.4
69  3  0.6269  38  e  1  4342760.44444444|288  3  0.7042  33  ne  2  4685084
69  3  0.6269  38  e  1  4342760.44444444|292  1  0.6584  44  ne  2  4706851.6
69  3  0.6269  38  e  1  4342760.44444444|293  3  0.6144  47  ne  2  4351549.11111111
69  3  0.6269  38  e  1  4342760.44444444|300  3  0.7327  40  ne  2  4688341.2
69  3  0.6269  38  e  1  4342760.44444444|303  3  0.5688  54  ne  2  4350231.77777778
69  3  0.6269  38  e  1  4342760.44444444|305  3  0.612  44  ne  2  4676620.8
69  3  0.6269  38  e  1  4342760.44444444|307  3  0.5766  23  ne  2  4345825.33333333
69  3  0.6269  38  e  1  4342760.44444444|309  0  0.6432  26  ne  2  4705578
69  3  0.6269  38  e  1  4342760.44444444|311  3  0.8419  53  ne  2  4684310.8
69  3  0.6269  38  e  1  4342760.44444444|313  3  0.6358  40  ne  2  4345969.55555556
69  3  0.6269  38  e  1  4342760.44444444|315  2  0.7382  51  ne  2  4708915.6
69  3  0.6269  38  e  1  4342760.44444444|317  3  0.6103  38  ne  2  4345931.33333333
69  3  0.6269  38  e  1  4342760.44444444|318  3  0.5335  31  ne  2  4685465.2
69  3  0.6269  38  e  1  4342760.44444444|319  3  0.7511  52  ne  2  4680104.4
69  3  0.6269  38  e  1  4342760.44444444|320  3  0.644  43  ne  2  4678364.8
69  3  0.6269  38  e  1  4342760.44444444|321  3  0.7544  38  ne  2  4674410.4
69  3  0.6269  38  e  1  4342760.44444444|325  3  0.5915  48  ne  2  4349099.11111111
69  3  0.6269  38  e  1  4342760.44444444|327  1  0.5764  46  ne  2  4704594.8
69  3  0.6269  38  e  1  4342760.44444444|330  1  0.4922  40  ne  2  4712017.6
69  3  0.6269  38  e  1  4342760.44444444|333  1  0.5966  32  ne  2  4702744.8
69  3  0.6269  38  e  1  4342760.44444444|334  3  0.561  47  ne  2  4679337.2
69  3  0.6269  38  e  1  4342760.44444444|336  3  0.6826  47  ne  2  4351578.88888889
69  3  0.6269  38  e  1  4342760.44444444|338  2  0.5043  48  ne  2  4688417.2
69  3  0.6269  38  e  1  4342760.44444444|341  3  0.6471  36  ne  2  4680552.4
69  3  0.6269  38  e  1  4342760.44444444|342  3  0.6807  25  ne  2  4351483.11111111
69  3  0.6269  38  e  1  4342760.44444444|343  0  0.7208  57  ne  2  4724069.2
69  3  0.6269  38  e  1  4342760.44444444|344  3  0.6083  31  ne  2  4350099.77777778
69  3  0.6269  38  e  1  4342760.44444444|345  3  0.7824  41  ne  2  4685391.2
69  3  0.6269  38  e  1  4342760.44444444|346  1  0.6526  38  ne  2  4699608
69  3  0.6269  38  e  1  4342760.44444444|347  3  0.675  57  ne  2  4678322
69  3  0.6269  38  e  1  4342760.44444444|349  2  0.5854  37  ne  2  4694116.8
69  3  0.6269  38  e  1  4342760.44444444|352  3  0.6447  28  ne  2  4351717.33333333
69  3  0.6269  38  e  1  4342760.44444444|353  3  0.7019  45  ne  2  4349687.11111111
69  3  0.6269  38  e  1  4342760.44444444|355  1  0.6429  45  ne  2  4711103.2
69  3  0.6269  38  e  1  4342760.44444444|357  0  0.7263  32  ne  2  4712723.2
69  3  0.6269  38  e  1  4342760.44444444|359  3  0.7202  54  ne  2  4351845.55555556
69  3  0.6269  38  e  1  4342760.44444444|360  0  0.5783  38  ne  2  4701614.4
69  3  0.6269  38  e  1  4342760.44444444|364  2  0.8237  36  ne  2  4695136.4
69  3  0.6269  38  e  1  4342760.44444444|370  1  0.55  46  ne  2  4714330.4
69  3  0.6269  38  e  1  4342760.44444444|371  3  0.6178  48  ne  2  4348073.11111111
69  3  0.6269  38  e  1  4342760.44444444|372  2  0.5964  38  ne  2  4695860.8
69  3  0.6269  38  e  1  4342760.44444444|373  1  0.5892  50  ne  2  4702881.6
69  3  0.6269  38  e  1  4342760.44444444|379  3  0.835  34  ne  2  4345398.44444444
