.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
203  3  0.4903  20  e  1  3557385.55555556|281  3  0.4415  18  ne  2  3995015
203  3  0.4903  20  e  1  3557385.55555556|282  2  0.4418  14  ne  2  3576924.66666667
203  3  0.4903  20  e  1  3557385.55555556|283  0  0.4523  15  ne  2  4013595
203  3  0.4903  20  e  1  3557385.55555556|284  3  0.4601  15  ne  2  3562735.77777778
203  3  0.4903  20  e  1  3557385.55555556|287  3  0.4386  10  ne  2  3559115.11111111
203  3  0.4903  20  e  1  3557385.55555556|288  2  0.4935  24  ne  2  4008837.66666667
203  3  0.4903  20  e  1  3557385.55555556|294  2  0.3122  16  ne  2  3573237.55555556
203  3  0.4903  20  e  1  3557385.55555556|295  1  0.5168  16  ne  2  4015191.66666667
203  3  0.4903  20  e  1  3557385.55555556|298  1  0.5389  43  ne  2  4019047.33333333
203  3  0.4903  20  e  1  3557385.55555556|300  2  0.4712  10  ne  2  3574176.44444444
203  3  0.4903  20  e  1  3557385.55555556|301  2  0.5234  15  ne  2  3577083.77777778
203  3  0.4903  20  e  1  3557385.55555556|303  3  0.476  15  ne  2  3990928.33333333
203  3  0.4903  20  e  1  3557385.55555556|306  3  0.4249  17  ne  2  3556773.77777778
203  3  0.4903  20  e  1  3557385.55555556|308  0  0.4746  20  ne  2  4020224.66666667
203  3  0.4903  20  e  1  3557385.55555556|309  3  0.4586  28  ne  2  3556505.33333333
203  3  0.4903  20  e  1  3557385.55555556|310  3  0.6424  24  ne  2  3994440
203  3  0.4903  20  e  1  3557385.55555556|314  2  0.3625  19  ne  2  4004575
203  3  0.4903  20  e  1  3557385.55555556|316  3  0.4247  24  ne  2  3557980
203  3  0.4903  20  e  1  3557385.55555556|317  3  0.3817  28  ne  2  3990131.66666667
203  3  0.4903  20  e  1  3557385.55555556|321  3  0.4672  28  ne  2  3993496.33333333
203  3  0.4903  20  e  1  3557385.55555556|322  2  0.5211  20  ne  2  4011438.66666667
203  3  0.4903  20  e  1  3557385.55555556|324  2  0.4295  22  ne  2  3573052.44444444
203  3  0.4903  20  e  1  3557385.55555556|326  3  0.6219  16  ne  2  3998963.33333333
203  3  0.4903  20  e  1  3557385.55555556|327  1  0.4345  23  ne  2  4010729
203  3  0.4903  20  e  1  3557385.55555556|328  1  0.4053  31  ne  2  4003109.33333333
203  3  0.4903  20  e  1  3557385.55555556|329  2  0.408  12  ne  2  4004422.33333333
203  3  0.4903  20  e  1  3557385.55555556|330  3  0.3811  26  ne  2  3995716.33333333
203  3  0.4903  20  e  1  3557385.55555556|331  0  0.4253  11  ne  2  4020652
203  3  0.4903  20  e  1  3557385.55555556|332  3  0.4878  24  ne  2  3558313.77777778
203  3  0.4903  20  e  1  3557385.55555556|334  3  0.5057  10  ne  2  3557621.33333333
203  3  0.4903  20  e  1  3557385.55555556|336  3  0.3992  9  ne  2  3554305.33333333
203  3  0.4903  20  e  1  3557385.55555556|337  0  0.448  30  ne  2  4017428
203  3  0.4903  20  e  1  3557385.55555556|339  3  0.4642  35  ne  2  3991411.66666667
203  3  0.4903  20  e  1  3557385.55555556|340  2  0.4866  22  ne  2  4005573
203  3  0.4903  20  e  1  3557385.55555556|341  2  0.5022  23  ne  2  3565131.33333333
203  3  0.4903  20  e  1  3557385.55555556|342  1  0.4734  25  ne  2  4021395.66666667
203  3  0.4903  20  e  1  3557385.55555556|343  3  0.4504  19  ne  2  3556006.88888889
203  3  0.4903  20  e  1  3557385.55555556|344  1  0.3945  29  ne  2  4022155.66666667
