.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
277  3  0.4037  9  e  1  5147362.22222222|278  3  0.4026  7  ne  2  5150685.77777778
277  3  0.4037  9  e  1  5147362.22222222|281  3  0.5222  33  ne  2  5157393.55555556
277  3  0.4037  9  e  1  5147362.22222222|288  1  0.382  11  ne  2  6130483.2
277  3  0.4037  9  e  1  5147362.22222222|289  0  0.4655  2  ne  2  6124012.4
277  3  0.4037  9  e  1  5147362.22222222|291  1  0.46  5  ne  2  6135818.4
277  3  0.4037  9  e  1  5147362.22222222|292  3  0.4316  2  ne  2  5151047.33333333
277  3  0.4037  9  e  1  5147362.22222222|293  1  0.3839  6  ne  2  6134746
277  3  0.4037  9  e  1  5147362.22222222|295  1  0.28  8  ne  2  6125970.4
277  3  0.4037  9  e  1  5147362.22222222|296  2  0.3989  5  ne  2  6125712.4
277  3  0.4037  9  e  1  5147362.22222222|298  2  0.6083  9  ne  2  6133183.6
277  3  0.4037  9  e  1  5147362.22222222|300  2  0.3539  3  ne  2  6128105.6
277  3  0.4037  9  e  1  5147362.22222222|301  3  0.3847  9  ne  2  5152118.44444444
277  3  0.4037  9  e  1  5147362.22222222|302  3  0.35  16  ne  2  5152704.22222222
277  3  0.4037  9  e  1  5147362.22222222|303  2  0.3463  4  ne  2  6129392.8
277  3  0.4037  9  e  1  5147362.22222222|304  3  0.402  14  ne  2  5152563.33333333
277  3  0.4037  9  e  1  5147362.22222222|305  1  0.3975  5  ne  2  6120200.8
277  3  0.4037  9  e  1  5147362.22222222|307  2  0.3976  14  ne  2  6119482.8
277  3  0.4037  9  e  1  5147362.22222222|311  2  0.3959  6  ne  2  6123358.8
277  3  0.4037  9  e  1  5147362.22222222|312  0  0.2777  7  ne  2  6140716.8
277  3  0.4037  9  e  1  5147362.22222222|314  0  0.4191  25  ne  2  6119386.4
277  3  0.4037  9  e  1  5147362.22222222|317  3  0.3075  15  ne  2  5152923.55555556
277  3  0.4037  9  e  1  5147362.22222222|318  3  0.3861  18  ne  2  5148636
277  3  0.4037  9  e  1  5147362.22222222|320  3  0.3786  15  ne  2  5145773.77777778
277  3  0.4037  9  e  1  5147362.22222222|321  3  0.4572  15  ne  2  5154344.66666667
277  3  0.4037  9  e  1  5147362.22222222|323  1  0.4409  18  ne  2  6135557.6
277  3  0.4037  9  e  1  5147362.22222222|326  0  0.3248  7  ne  2  6130059.6
277  3  0.4037  9  e  1  5147362.22222222|328  3  0.3482  8  ne  2  5149519.11111111
277  3  0.4037  9  e  1  5147362.22222222|329  2  0.456  4  ne  2  6126310.8
277  3  0.4037  9  e  1  5147362.22222222|330  1  0.434  9  ne  2  6127154
277  3  0.4037  9  e  1  5147362.22222222|331  3  0.397  10  ne  2  6095296.4
277  3  0.4037  9  e  1  5147362.22222222|333  3  0.3444  6  ne  2  5149228.88888889
277  3  0.4037  9  e  1  5147362.22222222|338  3  0.3197  11  ne  2  5149247.77777778
277  3  0.4037  9  e  1  5147362.22222222|341  0  0.2988  18  ne  2  6148028.8
277  3  0.4037  9  e  1  5147362.22222222|348  3  0.3511  9  ne  2  5146835.33333333
277  3  0.4037  9  e  1  5147362.22222222|351  2  0.3395  6  ne  2  6118992.8
277  3  0.4037  9  e  1  5147362.22222222|353  2  0.3972  7  ne  2  6125400.4
277  3  0.4037  9  e  1  5147362.22222222|357  1  0.4451  13  ne  2  6128350
277  3  0.4037  9  e  1  5147362.22222222|358  0  0.5074  8  ne  2  6144808
277  3  0.4037  9  e  1  5147362.22222222|361  1  0.3754  18  ne  2  6126001.2
277  3  0.4037  9  e  1  5147362.22222222|362  3  0.3253  12  ne  2  5147498
277  3  0.4037  9  e  1  5147362.22222222|363  3  0.5759  11  ne  2  5152005.11111111
277  3  0.4037  9  e  1  5147362.22222222|364  3  0.3205  8  ne  2  5148800.88888889
277  3  0.4037  9  e  1  5147362.22222222|365  3  0.4484  3  ne  2  5144362
277  3  0.4037  9  e  1  5147362.22222222|366  3  0.4555  9  ne  2  5152465.77777778
277  3  0.4037  9  e  1  5147362.22222222|367  3  0.4266  1  ne  2  5148994.22222222
277  3  0.4037  9  e  1  5147362.22222222|368  2  0.4268  10  ne  2  6125546
277  3  0.4037  9  e  1  5147362.22222222|369  3  0.3791  9  ne  2  5149892.22222222
277  3  0.4037  9  e  1  5147362.22222222|370  2  0.5939  4  ne  2  6143099.2
277  3  0.4037  9  e  1  5147362.22222222|371  3  0.4587  17  ne  2  5150321.11111111
277  3  0.4037  9  e  1  5147362.22222222|374  3  0.3314  13  ne  2  5154454
277  3  0.4037  9  e  1  5147362.22222222|375  1  0.3681  3  ne  2  6134825.6
277  3  0.4037  9  e  1  5147362.22222222|376  3  0.4249  6  ne  2  5153537.33333333
277  3  0.4037  9  e  1  5147362.22222222|378  1  0.4103  10  ne  2  6116512
277  3  0.4037  9  e  1  5147362.22222222|379  3  0.3033  17  ne  2  5147588.22222222
277  3  0.4037  9  e  1  5147362.22222222|380  3  0.3772  11  ne  2  5149565.33333333
277  3  0.4037  9  e  1  5147362.22222222|382  3  0.2428  1  ne  2  5151139.11111111
277  3  0.4037  9  e  1  5147362.22222222|383  3  0.3855  19  ne  2  5152063.77777778
277  3  0.4037  9  e  1  5147362.22222222|384  0  0.3808  11  ne  2  6131062.8
277  3  0.4037  9  e  1  5147362.22222222|385  2  0.5212  4  ne  2  6138916
277  3  0.4037  9  e  1  5147362.22222222|388  3  0.4376  9  ne  2  5150634.44444444
277  3  0.4037  9  e  1  5147362.22222222|390  3  0.3474  14  ne  2  5150674.22222222
277  3  0.4037  9  e  1  5147362.22222222|391  1  0.5351  10  ne  2  6140461.6
277  3  0.4037  9  e  1  5147362.22222222|394  3  0.3904  22  ne  2  6093435.2
277  3  0.4037  9  e  1  5147362.22222222|395  1  0.3392  5  ne  2  6130903.6
277  3  0.4037  9  e  1  5147362.22222222|396  3  0.4704  8  ne  2  5146541.77777778
277  3  0.4037  9  e  1  5147362.22222222|398  3  0.3895  14  ne  2  5154061.11111111
277  3  0.4037  9  e  1  5147362.22222222|399  3  0.4226  5  ne  2  5154535.33333333
277  3  0.4037  9  e  1  5147362.22222222|400  1  0.4259  11  ne  2  6146736.4
277  3  0.4037  9  e  1  5147362.22222222|401  3  0.5401  17  ne  2  5153555.77777778
277  3  0.4037  9  e  1  5147362.22222222|402  0  0.3443  9  ne  2  6122558.8
277  3  0.4037  9  e  1  5147362.22222222|404  1  0.3894  5  ne  2  6127833.2
277  3  0.4037  9  e  1  5147362.22222222|405  3  0.3989  22  ne  2  5154002.88888889
277  3  0.4037  9  e  1  5147362.22222222|406  3  0.5153  5  ne  2  5149047.33333333
277  3  0.4037  9  e  1  5147362.22222222|408  3  0.421  24  ne  2  5155786.88888889
277  3  0.4037  9  e  1  5147362.22222222|412  3  0.3721  2  ne  2  5147231.11111111
277  3  0.4037  9  e  1  5147362.22222222|414  1  0.5229  5  ne  2  6136376.8
277  3  0.4037  9  e  1  5147362.22222222|415  0  0.3254  6  ne  2  6144683.6
277  3  0.4037  9  e  1  5147362.22222222|416  3  0.3338  9  ne  2  5152105.77777778
277  3  0.4037  9  e  1  5147362.22222222|417  3  0.4711  21  ne  2  5148554.66666667
277  3  0.4037  9  e  1  5147362.22222222|418  3  0.3732  9  ne  2  5149785.11111111
277  3  0.4037  9  e  1  5147362.22222222|421  3  0.3519  7  ne  2  5147845.11111111
277  3  0.4037  9  e  1  5147362.22222222|424  0  0.436  3  ne  2  6149173.2
277  3  0.4037  9  e  1  5147362.22222222|425  1  0.336  14  ne  2  6121326.4
277  3  0.4037  9  e  1  5147362.22222222|426  3  0.2371  9  ne  2  5152661.33333333
277  3  0.4037  9  e  1  5147362.22222222|428  3  0.277  13  ne  2  5149323.33333333
277  3  0.4037  9  e  1  5147362.22222222|429  2  0.4436  22  ne  2  6112866.4
277  3  0.4037  9  e  1  5147362.22222222|431  3  0.4188  18  ne  2  5149424.88888889
277  3  0.4037  9  e  1  5147362.22222222|432  1  0.5463  14  ne  2  6124711.6
277  3  0.4037  9  e  1  5147362.22222222|436  3  0.492  9  ne  2  5149668
277  3  0.4037  9  e  1  5147362.22222222|437  3  0.3691  19  ne  2  5150600.66666667
277  3  0.4037  9  e  1  5147362.22222222|438  0  0.6705  6  ne  2  6143353.6
277  3  0.4037  9  e  1  5147362.22222222|439  1  0.4953  13  ne  2  6136002.4
277  3  0.4037  9  e  1  5147362.22222222|440  3  0.2615  1  ne  2  5153014.22222222
277  3  0.4037  9  e  1  5147362.22222222|442  1  0.1829  11  ne  2  6126339.6
277  3  0.4037  9  e  1  5147362.22222222|443  2  0.4502  3  ne  2  6136386
277  3  0.4037  9  e  1  5147362.22222222|447  3  0.3515  17  ne  2  5150214.44444444
277  3  0.4037  9  e  1  5147362.22222222|448  0  0.3289  28  ne  2  6120753.2
277  3  0.4037  9  e  1  5147362.22222222|449  3  0.4089  11  ne  2  5144084.66666667
277  3  0.4037  9  e  1  5147362.22222222|459  3  0.4114  10  ne  2  5151086.22222222
277  3  0.4037  9  e  1  5147362.22222222|464  0  0.5209  4  ne  2  6140105.6
277  3  0.4037  9  e  1  5147362.22222222|465  2  0.4185  12  ne  2  6123551.2
277  3  0.4037  9  e  1  5147362.22222222|466  3  0.2696  2  ne  2  5150993.11111111
277  3  0.4037  9  e  1  5147362.22222222|467  3  0.4617  7  ne  2  5149307.55555556
277  3  0.4037  9  e  1  5147362.22222222|470  1  0.3287  19  ne  2  6110952
277  3  0.4037  9  e  1  5147362.22222222|473  3  0.4438  6  ne  2  5155042.66666667
277  3  0.4037  9  e  1  5147362.22222222|476  3  0.3285  24  ne  2  5149914.22222222
277  3  0.4037  9  e  1  5147362.22222222|480  3  0.4009  9  ne  2  5148180.66666667
277  3  0.4037  9  e  1  5147362.22222222|482  0  0.5537  12  ne  2  6146738
277  3  0.4037  9  e  1  5147362.22222222|485  3  0.3829  13  ne  2  5148879.33333333
277  3  0.4037  9  e  1  5147362.22222222|486  3  0.4323  11  ne  2  5151450.44444444
108  3  0.1221  59  e  1  5154288|279  3  0.1395  73  ne  2  5156259.55555556
108  3  0.1221  59  e  1  5154288|280  0  0.2262  43  ne  2  6124409.6
108  3  0.1221  59  e  1  5154288|282  3  0.346  48  ne  2  5156363.33333333
108  3  0.1221  59  e  1  5154288|283  3  0.1908  47  ne  2  5154041.11111111
108  3  0.1221  59  e  1  5154288|284  3  0.076  74  ne  2  6101061.2
108  3  0.1221  59  e  1  5154288|290  3  0.1375  27  ne  2  5152696.22222222
108  3  0.1221  59  e  1  5154288|306  2  0.0542  55  ne  2  6125098
108  3  0.1221  59  e  1  5154288|308  3  0.0664  54  ne  2  5156677.55555556
108  3  0.1221  59  e  1  5154288|309  3  0.1036  50  ne  2  6095277.2
108  3  0.1221  59  e  1  5154288|310  2  0.0873  48  ne  2  6120778.8
108  3  0.1221  59  e  1  5154288|313  1  0.131  60  ne  2  6121848.4
108  3  0.1221  59  e  1  5154288|316  2  0.2465  62  ne  2  6126503.2
108  3  0.1221  59  e  1  5154288|319  2  0.1267  65  ne  2  6108792.8
108  3  0.1221  59  e  1  5154288|322  1  0.1288  56  ne  2  6127241.6
108  3  0.1221  59  e  1  5154288|324  3  0.1541  51  ne  2  6093398
108  3  0.1221  59  e  1  5154288|325  0  0.1161  62  ne  2  6125927.2
108  3  0.1221  59  e  1  5154288|327  3  0.2348  48  ne  2  5145418.22222222
108  3  0.1221  59  e  1  5154288|334  3  0.1543  55  ne  2  5148456.44444444
108  3  0.1221  59  e  1  5154288|335  3  0.2179  72  ne  2  6094354.8
108  3  0.1221  59  e  1  5154288|336  3  0.1152  63  ne  2  6092993.2
108  3  0.1221  59  e  1  5154288|339  3  0.1415  56  ne  2  6094450
108  3  0.1221  59  e  1  5154288|342  2  0.0486  55  ne  2  6118792.8
108  3  0.1221  59  e  1  5154288|343  2  0.1012  64  ne  2  6116128.4
108  3  0.1221  59  e  1  5154288|344  3  0.3421  45  ne  2  6093771.6
108  3  0.1221  59  e  1  5154288|345  3  0.1548  61  ne  2  5148670.44444444
108  3  0.1221  59  e  1  5154288|346  0  0.2094  66  ne  2  6124204.8
108  3  0.1221  59  e  1  5154288|347  3  0.1268  68  ne  2  5156176.22222222
108  3  0.1221  59  e  1  5154288|349  3  0.2166  63  ne  2  6093107.6
108  3  0.1221  59  e  1  5154288|350  0  0.1764  63  ne  2  6111003.6
108  3  0.1221  59  e  1  5154288|352  3  0.1206  49  ne  2  5151136
108  3  0.1221  59  e  1  5154288|354  0  0.0915  77  ne  2  6124346
108  3  0.1221  59  e  1  5154288|372  3  0.1049  64  ne  2  5156637.77777778
108  3  0.1221  59  e  1  5154288|373  3  0.1525  62  ne  2  5151356.88888889
108  3  0.1221  59  e  1  5154288|377  0  0.2126  71  ne  2  6126096.4
108  3  0.1221  59  e  1  5154288|381  2  0.2484  60  ne  2  6126133.2
108  3  0.1221  59  e  1  5154288|386  3  0.1642  64  ne  2  6094981.6
108  3  0.1221  59  e  1  5154288|387  0  0.1031  54  ne  2  6120840.8
108  3  0.1221  59  e  1  5154288|389  1  0.267  74  ne  2  6117103.2
108  3  0.1221  59  e  1  5154288|392  3  0.0863  65  ne  2  6098382.4
108  3  0.1221  59  e  1  5154288|393  0  0.3028  66  ne  2  6124615.2
108  3  0.1221  59  e  1  5154288|397  3  0.2356  60  ne  2  6091573.2
108  3  0.1221  59  e  1  5154288|407  2  0.1293  63  ne  2  6125694.8
108  3  0.1221  59  e  1  5154288|409  3  0.054  52  ne  2  5152406.66666667
108  3  0.1221  59  e  1  5154288|410  3  0.1701  58  ne  2  6099226
108  3  0.1221  59  e  1  5154288|411  0  0.1715  63  ne  2  6119716
108  3  0.1221  59  e  1  5154288|413  1  0.2522  52  ne  2  6114573.2
108  3  0.1221  59  e  1  5154288|419  1  0.0566  46  ne  2  6120148.4
108  3  0.1221  59  e  1  5154288|420  3  0.1954  67  ne  2  5151671.33333333
