.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
186  3  0.1929  10  e  1  4341558.88888889|279  3  0.2752  27  ne  2  4340068.88888889
186  3  0.1929  10  e  1  4341558.88888889|280  2  0.1751  23  ne  2  3253934.4
186  3  0.1929  10  e  1  4341558.88888889|282  3  0.1108  15  ne  2  3235402.8
186  3  0.1929  10  e  1  4341558.88888889|284  1  0.2112  15  ne  2  3253299.6
186  3  0.1929  10  e  1  4341558.88888889|288  0  0.266  8  ne  2  3257330
186  3  0.1929  10  e  1  4341558.88888889|289  2  0.2123  14  ne  2  4477860.85714286
186  3  0.1929  10  e  1  4341558.88888889|290  3  0.1776  11  ne  2  3237738
186  3  0.1929  10  e  1  4341558.88888889|291  3  0.1618  5  ne  2  4343638.44444444
186  3  0.1929  10  e  1  4341558.88888889|293  0  0.2857  23  ne  2  3254312.4
186  3  0.1929  10  e  1  4341558.88888889|303  1  0.3533  10  ne  2  3258494.4
186  3  0.1929  10  e  1  4341558.88888889|305  3  0.2535  19  ne  2  4340175.11111111
186  3  0.1929  10  e  1  4341558.88888889|307  0  0.0404  21  ne  2  4483117.14285714
186  3  0.1929  10  e  1  4341558.88888889|308  3  0.3149  5  ne  2  4346787.77777778
186  3  0.1929  10  e  1  4341558.88888889|310  3  0.3279  8  ne  2  4345452
186  3  0.1929  10  e  1  4341558.88888889|314  3  0.2196  5  ne  2  4464731.14285714
186  3  0.1929  10  e  1  4341558.88888889|317  0  0.189  5  ne  2  3258510
186  3  0.1929  10  e  1  4341558.88888889|318  2  0.122  5  ne  2  3250325.2
186  3  0.1929  10  e  1  4341558.88888889|324  3  0.3144  7  ne  2  3239757.2
186  3  0.1929  10  e  1  4341558.88888889|326  3  0.0665  5  ne  2  3236442.4
186  3  0.1929  10  e  1  4341558.88888889|328  1  0.2286  13  ne  2  3254782.8
186  3  0.1929  10  e  1  4341558.88888889|332  1  0.1626  5  ne  2  3261995.2
186  3  0.1929  10  e  1  4341558.88888889|333  0  0.2799  13  ne  2  3250694.8
186  3  0.1929  10  e  1  4341558.88888889|334  1  0.2504  15  ne  2  3251944
186  3  0.1929  10  e  1  4341558.88888889|338  3  0.2634  17  ne  2  4467561.14285714
186  3  0.1929  10  e  1  4341558.88888889|339  3  0.2131  8  ne  2  3234831.6
186  3  0.1929  10  e  1  4341558.88888889|340  3  0.2467  9  ne  2  4342504.88888889
186  3  0.1929  10  e  1  4341558.88888889|342  0  0.1237  25  ne  2  3252681.6
186  3  0.1929  10  e  1  4341558.88888889|347  3  0.2057  12  ne  2  4343787.33333333
186  3  0.1929  10  e  1  4341558.88888889|349  3  0.2107  8  ne  2  3235800
186  3  0.1929  10  e  1  4341558.88888889|351  1  0.0905  6  ne  2  3257588.4
186  3  0.1929  10  e  1  4341558.88888889|355  2  0.1518  19  ne  2  4480734.28571429
186  3  0.1929  10  e  1  4341558.88888889|359  0  0.2032  12  ne  2  3255714.4
186  3  0.1929  10  e  1  4341558.88888889|360  3  0.273  5  ne  2  4342170.88888889
186  3  0.1929  10  e  1  4341558.88888889|365  0  0.2621  14  ne  2  4488919.14285714
186  3  0.1929  10  e  1  4341558.88888889|367  1  0.2757  9  ne  2  3260017.6
186  3  0.1929  10  e  1  4341558.88888889|369  2  0.1221  6  ne  2  4484259.71428571
186  3  0.1929  10  e  1  4341558.88888889|371  3  0.2509  6  ne  2  3234894.8
186  3  0.1929  10  e  1  4341558.88888889|373  3  0.1258  13  ne  2  4339206.44444444
186  3  0.1929  10  e  1  4341558.88888889|374  3  0.3511  30  ne  2  4346176
186  3  0.1929  10  e  1  4341558.88888889|375  3  0.0837  10  ne  2  3240748
186  3  0.1929  10  e  1  4341558.88888889|377  0  0.1723  13  ne  2  3250605.6
186  3  0.1929  10  e  1  4341558.88888889|379  2  0.0566  12  ne  2  3250280.4
186  3  0.1929  10  e  1  4341558.88888889|380  1  0.2291  10  ne  2  3249515.2
186  3  0.1929  10  e  1  4341558.88888889|381  3  0.2377  16  ne  2  3235855.2
186  3  0.1929  10  e  1  4341558.88888889|383  3  0.0644  9  ne  2  3235669.6
186  3  0.1929  10  e  1  4341558.88888889|385  1  0.4041  8  ne  2  3245171.2
186  3  0.1929  10  e  1  4341558.88888889|386  3  0.1914  11  ne  2  4346065.77777778
186  3  0.1929  10  e  1  4341558.88888889|387  3  0.1054  7  ne  2  4346180.66666667
186  3  0.1929  10  e  1  4341558.88888889|388  3  0.1465  13  ne  2  4341211.55555556
186  3  0.1929  10  e  1  4341558.88888889|390  3  0.3764  9  ne  2  3236978
186  3  0.1929  10  e  1  4341558.88888889|395  0  0.2201  7  ne  2  3259407.6
186  3  0.1929  10  e  1  4341558.88888889|400  3  0.1966  29  ne  2  3239631.6
186  3  0.1929  10  e  1  4341558.88888889|401  2  0.0612  8  ne  2  4488114
186  3  0.1929  10  e  1  4341558.88888889|402  3  0.2834  14  ne  2  3235376
186  3  0.1929  10  e  1  4341558.88888889|403  2  0.263  16  ne  2  4482930.57142857
186  3  0.1929  10  e  1  4341558.88888889|405  3  0.3323  14  ne  2  4344178.44444444
186  3  0.1929  10  e  1  4341558.88888889|408  2  0.107  22  ne  2  4485335.42857143
186  3  0.1929  10  e  1  4341558.88888889|411  3  0.3287  8  ne  2  4344448.88888889
186  3  0.1929  10  e  1  4341558.88888889|412  3  0.1097  8  ne  2  3239684
186  3  0.1929  10  e  1  4341558.88888889|413  0  0.2867  23  ne  2  3249598
186  3  0.1929  10  e  1  4341558.88888889|415  3  0.2451  10  ne  2  4345294
186  3  0.1929  10  e  1  4341558.88888889|417  3  0.1913  15  ne  2  4348260
186  3  0.1929  10  e  1  4341558.88888889|418  3  0.254  16  ne  2  3236546.4
186  3  0.1929  10  e  1  4341558.88888889|419  0  0.208  16  ne  2  3253910.4
