.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
210  3  0.2111  32  e  1  3049453.75|280  3  0.2208  41  ne  2  3052849.75
210  3  0.2111  32  e  1  3049453.75|281  3  0.2114  27  ne  2  3050339
210  3  0.2111  32  e  1  3049453.75|282  3  0.118  36  ne  2  3052703
210  3  0.2111  32  e  1  3049453.75|283  3  0.131  52  ne  2  3434562.57142857
210  3  0.2111  32  e  1  3049453.75|288  3  0.2084  32  ne  2  3055080
210  3  0.2111  32  e  1  3049453.75|291  1  0.2632  35  ne  2  3449161.71428571
210  3  0.2111  32  e  1  3049453.75|293  3  0.2215  14  ne  2  3047093.5
210  3  0.2111  32  e  1  3049453.75|295  3  0.1614  30  ne  2  3049167.5
210  3  0.2111  32  e  1  3049453.75|302  3  0.2886  29  ne  2  3050948.5
210  3  0.2111  32  e  1  3049453.75|304  3  0.1807  25  ne  2  3049534.25
210  3  0.2111  32  e  1  3049453.75|305  2  0.2675  41  ne  2  3064076.25
210  3  0.2111  32  e  1  3049453.75|306  3  0.1203  18  ne  2  3051545.25
210  3  0.2111  32  e  1  3049453.75|311  3  0.2159  33  ne  2  3053285.5
210  3  0.2111  32  e  1  3049453.75|313  0  0.1858  22  ne  2  3449303.14285714
210  3  0.2111  32  e  1  3049453.75|316  1  0.0961  33  ne  2  3441187.42857143
210  3  0.2111  32  e  1  3049453.75|317  2  0.0864  33  ne  2  3443017.42857143
210  3  0.2111  32  e  1  3049453.75|318  3  0.2571  39  ne  2  3429337.14285714
210  3  0.2111  32  e  1  3049453.75|319  3  0.191  20  ne  2  3052210.25
210  3  0.2111  32  e  1  3049453.75|323  3  0.2087  38  ne  2  3051881.75
210  3  0.2111  32  e  1  3049453.75|324  3  0.4745  32  ne  2  3048101.25
210  3  0.2111  32  e  1  3049453.75|327  3  0.2929  31  ne  2  3431018.28571429
210  3  0.2111  32  e  1  3049453.75|328  1  0.2204  30  ne  2  3450981.42857143
210  3  0.2111  32  e  1  3049453.75|330  1  0.2658  31  ne  2  3445167.14285714
210  3  0.2111  32  e  1  3049453.75|331  3  0.1113  34  ne  2  3049237.25
210  3  0.2111  32  e  1  3049453.75|334  3  0.2421  35  ne  2  3436202
210  3  0.2111  32  e  1  3049453.75|336  1  0.2827  14  ne  2  3448923.71428571
210  3  0.2111  32  e  1  3049453.75|341  3  0.2746  45  ne  2  3431596.28571429
210  3  0.2111  32  e  1  3049453.75|343  3  0.096  52  ne  2  3431466.57142857
210  3  0.2111  32  e  1  3049453.75|345  3  0.2127  35  ne  2  3055239.25
210  3  0.2111  32  e  1  3049453.75|346  3  0.3368  34  ne  2  3053800.75
210  3  0.2111  32  e  1  3049453.75|352  3  0.1576  23  ne  2  3048886.75
210  3  0.2111  32  e  1  3049453.75|353  1  0.2259  13  ne  2  3448094.28571429
210  3  0.2111  32  e  1  3049453.75|357  2  0.1887  32  ne  2  3442409.71428571
210  3  0.2111  32  e  1  3049453.75|358  1  0.2418  34  ne  2  3435746
210  3  0.2111  32  e  1  3049453.75|359  0  0.1312  40  ne  2  3060214.5
210  3  0.2111  32  e  1  3049453.75|360  3  0.1934  21  ne  2  3053385.25
210  3  0.2111  32  e  1  3049453.75|363  2  0.3351  41  ne  2  3058135.75
210  3  0.2111  32  e  1  3049453.75|365  3  0.2585  31  ne  2  3050131.25
210  3  0.2111  32  e  1  3049453.75|368  3  0.2026  34  ne  2  3053201.5
210  3  0.2111  32  e  1  3049453.75|369  2  0.2165  33  ne  2  3061956.5
210  3  0.2111  32  e  1  3049453.75|371  3  0.0495  39  ne  2  3436106.85714286
210  3  0.2111  32  e  1  3049453.75|373  3  0.1994  46  ne  2  3051261.5
210  3  0.2111  32  e  1  3049453.75|376  1  0.2393  26  ne  2  3435704.28571429
210  3  0.2111  32  e  1  3049453.75|379  0  0.1116  22  ne  2  3448724
210  3  0.2111  32  e  1  3049453.75|381  3  0.3713  36  ne  2  3428492.57142857
210  3  0.2111  32  e  1  3049453.75|382  2  0.2407  18  ne  2  3443946
210  3  0.2111  32  e  1  3049453.75|383  2  0.2205  43  ne  2  3063188.5
210  3  0.2111  32  e  1  3049453.75|384  3  0.219  27  ne  2  3051680.5
210  3  0.2111  32  e  1  3049453.75|397  3  0.1991  34  ne  2  3433738.28571429
210  3  0.2111  32  e  1  3049453.75|399  2  0.2256  21  ne  2  3066290.25
210  3  0.2111  32  e  1  3049453.75|400  3  0.1724  33  ne  2  3054573.75
210  3  0.2111  32  e  1  3049453.75|401  3  0.344  31  ne  2  3054526.25
210  3  0.2111  32  e  1  3049453.75|402  0  0.1684  29  ne  2  3445980
210  3  0.2111  32  e  1  3049453.75|403  1  0.1648  23  ne  2  3439483.71428571
