.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
199  3  0.27  7  e  1  5298341.4|281  0  0.29  16  ne  2  4705078.4
199  3  0.27  7  e  1  5298341.4|282  1  0.26  2  ne  2  4711152
199  3  0.27  7  e  1  5298341.4|285  1  0.16  15  ne  2  4687446
199  3  0.27  7  e  1  5298341.4|286  1  0.31  17  ne  2  4692840.4
199  3  0.27  7  e  1  5298341.4|288  1  0.27  3  ne  2  4711114
199  3  0.27  7  e  1  5298341.4|290  1  0.32  8  ne  2  4707400
199  3  0.27  7  e  1  5298341.4|293  3  0.38  14  ne  2  5303443.2
199  3  0.27  7  e  1  5298341.4|295  2  0.33  5  ne  2  4696725.2
199  3  0.27  7  e  1  5298341.4|296  2  0.19  5  ne  2  4703541.6
199  3  0.27  7  e  1  5298341.4|300  3  0.25  14  ne  2  5300960
199  3  0.27  7  e  1  5298341.4|302  1  0.22  6  ne  2  4712994.4
199  3  0.27  7  e  1  5298341.4|303  3  0.28  25  ne  2  5300026.4
199  3  0.27  7  e  1  5298341.4|304  3  0.33  4  ne  2  4678150.8
199  3  0.27  7  e  1  5298341.4|308  3  0.2  2  ne  2  4671552.4
199  3  0.27  7  e  1  5298341.4|309  3  0.26  19  ne  2  5300661.8
199  3  0.27  7  e  1  5298341.4|310  1  0.3  10  ne  2  4715822.4
199  3  0.27  7  e  1  5298341.4|311  1  0.36  3  ne  2  4702332.4
199  3  0.27  7  e  1  5298341.4|316  1  0.35  10  ne  2  4696145.6
199  3  0.27  7  e  1  5298341.4|317  3  0.31  4  ne  2  5303434.8
199  3  0.27  7  e  1  5298341.4|318  2  0.38  2  ne  2  4709405.6
199  3  0.27  7  e  1  5298341.4|320  0  0.23  4  ne  2  4697675.2
199  3  0.27  7  e  1  5298341.4|321  3  0.3  16  ne  2  5303990.6
199  3  0.27  7  e  1  5298341.4|323  3  0.18  7  ne  2  5300486.6
199  3  0.27  7  e  1  5298341.4|324  3  0.1  7  ne  2  5305370.6
199  3  0.27  7  e  1  5298341.4|327  3  0.2  17  ne  2  5300790.6
199  3  0.27  7  e  1  5298341.4|329  3  0.15  5  ne  2  4678047.6
199  3  0.27  7  e  1  5298341.4|330  3  0.19  2  ne  2  4678134
199  3  0.27  7  e  1  5298341.4|335  0  0.42  2  ne  2  4723560.4
199  3  0.27  7  e  1  5298341.4|337  0  0.34  2  ne  2  4715512.4
199  3  0.27  7  e  1  5298341.4|338  3  0.28  20  ne  2  5298699.2
199  3  0.27  7  e  1  5298341.4|340  2  0.19  5  ne  2  4704458.8
199  3  0.27  7  e  1  5298341.4|341  2  0.36  9  ne  2  4698413.6
199  3  0.27  7  e  1  5298341.4|342  3  0.18  9  ne  2  5302495.8
199  3  0.27  7  e  1  5298341.4|343  3  0.16  9  ne  2  5304503.4
199  3  0.27  7  e  1  5298341.4|344  0  0.15  10  ne  2  4711945.6
199  3  0.27  7  e  1  5298341.4|346  0  0.21  5  ne  2  4711232.4
199  3  0.27  7  e  1  5298341.4|347  1  0.33  5  ne  2  4711110
199  3  0.27  7  e  1  5298341.4|348  3  0.33  7  ne  2  5299680.8
199  3  0.27  7  e  1  5298341.4|352  0  0.12  10  ne  2  4701789.6
199  3  0.27  7  e  1  5298341.4|354  2  0.36  13  ne  2  4698278
199  3  0.27  7  e  1  5298341.4|355  1  0.38  7  ne  2  4704927.6
199  3  0.27  7  e  1  5298341.4|356  3  0.25  8  ne  2  5299471.2
199  3  0.27  7  e  1  5298341.4|357  2  0.08  5  ne  2  4703596.8
199  3  0.27  7  e  1  5298341.4|358  3  0.06  12  ne  2  5303975.2
199  3  0.27  7  e  1  5298341.4|363  1  0.42  15  ne  2  4703576
199  3  0.27  7  e  1  5298341.4|365  2  0.29  9  ne  2  4697695.6
199  3  0.27  7  e  1  5298341.4|366  3  0.28  9  ne  2  5301657.2
199  3  0.27  7  e  1  5298341.4|367  2  0.3  9  ne  2  4697099.6
199  3  0.27  7  e  1  5298341.4|369  1  0.25  11  ne  2  4706222.4
199  3  0.27  7  e  1  5298341.4|371  0  0.21  10  ne  2  4690275.2
199  3  0.27  7  e  1  5298341.4|373  3  0.34  3  ne  2  4678684
199  3  0.27  7  e  1  5298341.4|376  3  0.28  10  ne  2  5302321.4
199  3  0.27  7  e  1  5298341.4|382  3  0.34  14  ne  2  5303054
199  3  0.27  7  e  1  5298341.4|385  3  0.33  23  ne  2  5304023.2
199  3  0.27  7  e  1  5298341.4|386  1  0.19  2  ne  2  4707695.6
199  3  0.27  7  e  1  5298341.4|387  3  0.23  12  ne  2  5302997.2
199  3  0.27  7  e  1  5298341.4|388  3  0.13  8  ne  2  5299094.8
199  3  0.27  7  e  1  5298341.4|392  3  0.31  11  ne  2  5303273.2
199  3  0.27  7  e  1  5298341.4|393  3  0.24  13  ne  2  5303460.8
199  3  0.27  7  e  1  5298341.4|394  3  0.12  1  ne  2  5301544.4
199  3  0.27  7  e  1  5298341.4|395  3  0.34  18  ne  2  5302828.2
199  3  0.27  7  e  1  5298341.4|396  1  0.16  3  ne  2  4712433.2
199  3  0.27  7  e  1  5298341.4|397  0  0.32  5  ne  2  4712958.8
199  3  0.27  7  e  1  5298341.4|398  3  0.39  4  ne  2  5300388.8
199  3  0.27  7  e  1  5298341.4|400  1  0.32  1  ne  2  4716396.8
199  3  0.27  7  e  1  5298341.4|401  1  0.2  8  ne  2  4703369.6
199  3  0.27  7  e  1  5298341.4|403  0  0.24  3  ne  2  4711642.8
199  3  0.27  7  e  1  5298341.4|405  3  0.33  4  ne  2  4678150.8
199  3  0.27  7  e  1  5298341.4|406  3  0.22  21  ne  2  5303992
199  3  0.27  7  e  1  5298341.4|407  3  0.34  21  ne  2  5301616.2
199  3  0.27  7  e  1  5298341.4|408  3  0.24  4  ne  2  4673895.2
199  3  0.27  7  e  1  5298341.4|409  1  0.26  5  ne  2  4696768
199  3  0.27  7  e  1  5298341.4|410  2  0.14  12  ne  2  5332401.8
199  3  0.27  7  e  1  5298341.4|412  3  0.26  2  ne  2  5304558
199  3  0.27  7  e  1  5298341.4|415  2  0.28  30  ne  2  4702566
199  3  0.27  7  e  1  5298341.4|417  3  0.05  17  ne  2  5302264.6
199  3  0.27  7  e  1  5298341.4|418  2  0.21  4  ne  2  4692862.8
199  3  0.27  7  e  1  5298341.4|419  3  0.2  26  ne  2  5302031.4
199  3  0.27  7  e  1  5298341.4|422  3  0.24  8  ne  2  5296641.2
199  3  0.27  7  e  1  5298341.4|424  0  0.31  16  ne  2  4705250.4
199  3  0.27  7  e  1  5298341.4|425  3  0.4  22  ne  2  5300862.6
199  3  0.27  7  e  1  5298341.4|426  3  0.26  2  ne  2  5304558
199  3  0.27  7  e  1  5298341.4|430  3  0.41  3  ne  2  5303223.8
199  3  0.27  7  e  1  5298341.4|431  1  0.19  9  ne  2  4701955.2
199  3  0.27  7  e  1  5298341.4|433  0  0.27  16  ne  2  4704153.2
199  3  0.27  7  e  1  5298341.4|437  0  0.18  10  ne  2  4692891.2
199  3  0.27  7  e  1  5298341.4|439  3  0.2  21  ne  2  4674633.2
199  3  0.27  7  e  1  5298341.4|443  3  0.23  6  ne  2  5302264.8
199  3  0.27  7  e  1  5298341.4|445  3  0.22  10  ne  2  5305376.8
199  3  0.27  7  e  1  5298341.4|446  3  0.3  12  ne  2  5302894.6
199  3  0.27  7  e  1  5298341.4|448  2  0.37  6  ne  2  4705207.6
199  3  0.27  7  e  1  5298341.4|449  3  0.22  12  ne  2  4674984.8
199  3  0.27  7  e  1  5298341.4|451  2  0.27  8  ne  2  5332968
199  3  0.27  7  e  1  5298341.4|452  0  0.18  3  ne  2  4705171.6
199  3  0.27  7  e  1  5298341.4|454  1  0.22  10  ne  2  4707498.8
199  3  0.27  7  e  1  5298341.4|456  3  0.44  9  ne  2  5300094.4
199  3  0.27  7  e  1  5298341.4|458  0  0.35  14  ne  2  4705308.8
199  3  0.27  7  e  1  5298341.4|459  3  0.24  17  ne  2  5302836.6
199  3  0.27  7  e  1  5298341.4|461  1  0.35  14  ne  2  4697082
199  3  0.27  7  e  1  5298341.4|464  2  0.39  14  ne  2  4698396.4
199  3  0.27  7  e  1  5298341.4|465  3  0.18  10  ne  2  4670266.4
199  3  0.27  7  e  1  5298341.4|467  2  0.26  2  ne  2  4705961.2
119  3  0.33  34  e  1  5300277.6|278  0  0.46  39  ne  2  4700383.6
119  3  0.33  34  e  1  5300277.6|280  1  0.42  32  ne  2  4704621.2
119  3  0.33  34  e  1  5300277.6|283  1  0.21  31  ne  2  4693050
