.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
42  3  0.15  27  e  1  3454519.42857143|278  3  0.13  31  ne  2  3457375.42857143
42  3  0.15  27  e  1  3454519.42857143|279  0  0.13  32  ne  2  3473614.28571429
42  3  0.15  27  e  1  3454519.42857143|280  3  0.15  34  ne  2  3455829.14285714
42  3  0.15  27  e  1  3454519.42857143|282  3  0.07  23  ne  2  3450931.71428571
42  3  0.15  27  e  1  3454519.42857143|288  1  0.15  42  ne  2  3469749.71428571
42  3  0.15  27  e  1  3454519.42857143|296  1  0.14  19  ne  2  3476355.71428571
42  3  0.15  27  e  1  3454519.42857143|298  0  0.04  31  ne  2  3467305.71428571
42  3  0.15  27  e  1  3454519.42857143|299  3  0.06  20  ne  2  3462726.28571429
42  3  0.15  27  e  1  3454519.42857143|301  0  0.23  34  ne  2  3466535.42857143
42  3  0.15  27  e  1  3454519.42857143|304  0  0.16  45  ne  2  3475825.42857143
42  3  0.15  27  e  1  3454519.42857143|309  3  0.24  23  ne  2  3460294.57142857
42  3  0.15  27  e  1  3454519.42857143|311  3  0.12  37  ne  2  3458840.57142857
42  3  0.15  27  e  1  3454519.42857143|312  3  0.25  22  ne  2  3457444.85714286
42  3  0.15  27  e  1  3454519.42857143|313  2  0.2  21  ne  2  3471718.85714286
42  3  0.15  27  e  1  3454519.42857143|315  0  0.14  31  ne  2  3466690.57142857
42  3  0.15  27  e  1  3454519.42857143|316  1  0.18  36  ne  2  3470795.42857143
42  3  0.15  27  e  1  3454519.42857143|318  3  0.12  29  ne  2  3456268.85714286
42  3  0.15  27  e  1  3454519.42857143|321  3  0.27  29  ne  2  3457922.57142857
42  3  0.15  27  e  1  3454519.42857143|324  2  0.16  27  ne  2  3477102.85714286
42  3  0.15  27  e  1  3454519.42857143|325  3  0.21  44  ne  2  3460395.71428571
42  3  0.15  27  e  1  3454519.42857143|328  3  0.21  29  ne  2  3454169.42857143
42  3  0.15  27  e  1  3454519.42857143|329  3  0.3  38  ne  2  3456600.28571429
42  3  0.15  27  e  1  3454519.42857143|330  3  0.28  27  ne  2  3462534.28571429
42  3  0.15  27  e  1  3454519.42857143|331  3  0.18  26  ne  2  3457810.85714286
42  3  0.15  27  e  1  3454519.42857143|332  3  0.2  22  ne  2  3459338.28571429
42  3  0.15  27  e  1  3454519.42857143|333  0  0.19  24  ne  2  3466210.28571429
42  3  0.15  27  e  1  3454519.42857143|339  3  0.15  30  ne  2  3455051.42857143
42  3  0.15  27  e  1  3454519.42857143|341  1  0.27  18  ne  2  3477058.85714286
42  3  0.15  27  e  1  3454519.42857143|344  3  0.22  18  ne  2  3455742
42  3  0.15  27  e  1  3454519.42857143|347  1  0.26  29  ne  2  3472342.85714286
42  3  0.15  27  e  1  3454519.42857143|348  3  0.21  23  ne  2  3461049.14285714
42  3  0.15  27  e  1  3454519.42857143|349  0  0.05  22  ne  2  3473872.85714286
42  3  0.15  27  e  1  3454519.42857143|350  3  0.18  25  ne  2  3457929.14285714
42  3  0.15  27  e  1  3454519.42857143|352  0  0.14  21  ne  2  3462771.71428571
42  3  0.15  27  e  1  3454519.42857143|354  1  0.23  14  ne  2  3475616
42  3  0.15  27  e  1  3454519.42857143|355  1  0.1  33  ne  2  3470756
42  3  0.15  27  e  1  3454519.42857143|357  2  0.21  30  ne  2  3473662
42  3  0.15  27  e  1  3454519.42857143|360  2  0.28  17  ne  2  3468718.28571429
42  3  0.15  27  e  1  3454519.42857143|363  3  0.13  22  ne  2  3456268.57142857
42  3  0.15  27  e  1  3454519.42857143|364  3  0.19  25  ne  2  3460199.42857143
42  3  0.15  27  e  1  3454519.42857143|365  3  0.15  29  ne  2  3456170.57142857
42  3  0.15  27  e  1  3454519.42857143|366  1  0.23  36  ne  2  3464827.14285714
42  3  0.15  27  e  1  3454519.42857143|369  1  0.21  37  ne  2  3476458.28571429
42  3  0.15  27  e  1  3454519.42857143|370  1  0.22  22  ne  2  3473764.28571429
42  3  0.15  27  e  1  3454519.42857143|372  0  0.32  22  ne  2  3474683.14285714
42  3  0.15  27  e  1  3454519.42857143|373  0  0.26  41  ne  2  3466490.57142857
42  3  0.15  27  e  1  3454519.42857143|375  0  0.29  45  ne  2  3475069.71428571
42  3  0.15  27  e  1  3454519.42857143|376  2  0.18  27  ne  2  3473740.57142857
42  3  0.15  27  e  1  3454519.42857143|377  3  0.06  25  ne  2  3455301.14285714
42  3  0.15  27  e  1  3454519.42857143|378  1  0.16  38  ne  2  3464594
42  3  0.15  27  e  1  3454519.42857143|381  2  0.07  25  ne  2  3468042.85714286
42  3  0.15  27  e  1  3454519.42857143|382  3  0.18  28  ne  2  3452482
42  3  0.15  27  e  1  3454519.42857143|384  1  0.21  25  ne  2  3469283.14285714
42  3  0.15  27  e  1  3454519.42857143|386  2  0.11  20  ne  2  3466099.14285714
42  3  0.15  27  e  1  3454519.42857143|388  2  0.23  33  ne  2  3471792.85714286
42  3  0.15  27  e  1  3454519.42857143|393  3  0.24  32  ne  2  3458029.71428571
42  3  0.15  27  e  1  3454519.42857143|395  3  0.19  34  ne  2  3460821.71428571
42  3  0.15  27  e  1  3454519.42857143|396  3  0.07  19  ne  2  3458152
42  3  0.15  27  e  1  3454519.42857143|399  3  0.02  42  ne  2  3460747.14285714
42  3  0.15  27  e  1  3454519.42857143|400  3  0.07  25  ne  2  3459164.28571429
42  3  0.15  27  e  1  3454519.42857143|403  0  0.16  27  ne  2  3468434.28571429
42  3  0.15  27  e  1  3454519.42857143|404  3  0.16  38  ne  2  3460830.85714286
42  3  0.15  27  e  1  3454519.42857143|408  3  0.22  22  ne  2  3458667.42857143
42  3  0.15  27  e  1  3454519.42857143|410  0  0.27  26  ne  2  3467874.28571429
42  3  0.15  27  e  1  3454519.42857143|414  3  0.13  11  ne  2  3455734.57142857
42  3  0.15  27  e  1  3454519.42857143|416  0  0.16  12  ne  2  3468075.14285714
42  3  0.15  27  e  1  3454519.42857143|417  0  0.12  18  ne  2  3473799.14285714
42  3  0.15  27  e  1  3454519.42857143|423  3  0.16  31  ne  2  3462491.71428571
42  3  0.15  27  e  1  3454519.42857143|424  3  0.03  29  ne  2  3458014.85714286
42  3  0.15  27  e  1  3454519.42857143|425  3  0.1  20  ne  2  3455400.28571429
42  3  0.15  27  e  1  3454519.42857143|427  3  0.12  32  ne  2  3453605.71428571
42  3  0.15  27  e  1  3454519.42857143|428  3  0.17  23  ne  2  3456924.28571429
42  3  0.15  27  e  1  3454519.42857143|431  2  0.06  24  ne  2  3472761.71428571
42  3  0.15  27  e  1  3454519.42857143|432  0  0.16  33  ne  2  3469056.28571429
42  3  0.15  27  e  1  3454519.42857143|434  2  0.17  21  ne  2  3470614.28571429
42  3  0.15  27  e  1  3454519.42857143|435  3  0.14  41  ne  2  3458159.14285714
42  3  0.15  27  e  1  3454519.42857143|438  0  0.14  33  ne  2  3464616.28571429
42  3  0.15  27  e  1  3454519.42857143|442  3  0.19  26  ne  2  3458527.42857143
42  3  0.15  27  e  1  3454519.42857143|443  3  0.04  29  ne  2  3456752.28571429
42  3  0.15  27  e  1  3454519.42857143|444  3  0.13  26  ne  2  3455075.71428571
42  3  0.15  27  e  1  3454519.42857143|451  3  0.26  19  ne  2  3456183.42857143
42  3  0.15  27  e  1  3454519.42857143|454  3  0.04  39  ne  2  3456373.42857143
42  3  0.15  27  e  1  3454519.42857143|455  1  0.16  38  ne  2  3464386.57142857
42  3  0.15  27  e  1  3454519.42857143|456  0  0.27  33  ne  2  3476428.28571429
42  3  0.15  27  e  1  3454519.42857143|458  3  0.11  26  ne  2  3453090.28571429
42  3  0.15  27  e  1  3454519.42857143|459  3  0.03  21  ne  2  3455016.57142857
42  3  0.15  27  e  1  3454519.42857143|460  2  0.16  7  ne  2  3472499.14285714
42  3  0.15  27  e  1  3454519.42857143|461  1  0.29  32  ne  2  3466714
42  3  0.15  27  e  1  3454519.42857143|465  2  0.17  29  ne  2  3470909.42857143
42  3  0.15  27  e  1  3454519.42857143|466  3  0.18  26  ne  2  3461013.42857143
42  3  0.15  27  e  1  3454519.42857143|468  0  0.07  36  ne  2  3472854.85714286
42  3  0.15  27  e  1  3454519.42857143|469  2  0.05  37  ne  2  3470350.28571429
42  3  0.15  27  e  1  3454519.42857143|472  3  0.07  26  ne  2  3455796.28571429
42  3  0.15  27  e  1  3454519.42857143|473  1  0.16  25  ne  2  3474497.71428571
42  3  0.15  27  e  1  3454519.42857143|475  3  0.1  27  ne  2  3454670.28571429
42  3  0.15  27  e  1  3454519.42857143|477  1  0.09  12  ne  2  3474946
42  3  0.15  27  e  1  3454519.42857143|482  3  0.24  33  ne  2  3459861.42857143
42  3  0.15  27  e  1  3454519.42857143|484  3  0.17  30  ne  2  3453645.14285714
42  3  0.15  27  e  1  3454519.42857143|486  1  0.24  21  ne  2  3468611.71428571
42  3  0.15  27  e  1  3454519.42857143|487  0  0.2  20  ne  2  3472253.71428571
42  3  0.15  27  e  1  3454519.42857143|492  2  0.1  33  ne  2  3471123.42857143
42  3  0.15  27  e  1  3454519.42857143|494  1  0.24  15  ne  2  3479032.57142857
42  3  0.15  27  e  1  3454519.42857143|495  2  0.16  18  ne  2  3469935.71428571
42  3  0.15  27  e  1  3454519.42857143|496  0  0.14  42  ne  2  3467928.28571429
42  3  0.15  27  e  1  3454519.42857143|499  2  0.18  19  ne  2  3471330.28571429
42  3  0.15  27  e  1  3454519.42857143|502  0  0.15  25  ne  2  3467983.71428571
42  3  0.15  27  e  1  3454519.42857143|504  2  0.26  37  ne  2  3469737.42857143
42  3  0.15  27  e  1  3454519.42857143|505  3  0.17  35  ne  2  3456040
42  3  0.15  27  e  1  3454519.42857143|506  3  0.02  13  ne  2  3458080.57142857
42  3  0.15  27  e  1  3454519.42857143|509  3  0.2  18  ne  2  3455178.85714286
42  3  0.15  27  e  1  3454519.42857143|512  3  0.05  25  ne  2  3452461.42857143
42  3  0.15  27  e  1  3454519.42857143|514  3  0.2  37  ne  2  3457164
42  3  0.15  27  e  1  3454519.42857143|515  1  0.11  35  ne  2  3463879.71428571
42  3  0.15  27  e  1  3454519.42857143|516  2  0.08  22  ne  2  3468663.42857143
42  3  0.15  27  e  1  3454519.42857143|517  3  0.26  18  ne  2  3457684.85714286
42  3  0.15  27  e  1  3454519.42857143|518  0  0.15  10  ne  2  3475045.42857143
42  3  0.15  27  e  1  3454519.42857143|519  3  0.27  27  ne  2  3455678.85714286
42  3  0.15  27  e  1  3454519.42857143|520  3  0.13  30  ne  2  3449206.85714286
42  3  0.15  27  e  1  3454519.42857143|522  3  0.15  36  ne  2  3461508.57142857
245  3  0.14  25  e  1  3458900.85714286|281  1  0.08  14  ne  2  3469534.85714286
245  3  0.14  25  e  1  3458900.85714286|283  1  0.03  31  ne  2  3473160.85714286
245  3  0.14  25  e  1  3458900.85714286|284  3  0.13  23  ne  2  3458174.57142857
245  3  0.14  25  e  1  3458900.85714286|285  3  0.1  15  ne  2  3461992
245  3  0.14  25  e  1  3458900.85714286|287  0  0.21  16  ne  2  3468274.57142857
245  3  0.14  25  e  1  3458900.85714286|292  3  0.08  23  ne  2  3457942.28571429
245  3  0.14  25  e  1  3458900.85714286|293  3  0.15  23  ne  2  3456111.14285714
245  3  0.14  25  e  1  3458900.85714286|295  3  0.23  22  ne  2  3462421.14285714
