.ID.  localsearch  rho  ants  statusElite  iteration - 1  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
136  3  0.45  29  e  1  4340287.55555556|279  1  0.47  27  ne  2  4682713.6
136  3  0.45  29  e  1  4340287.55555556|281  0  0.45  29  ne  2  4676945.2
136  3  0.45  29  e  1  4340287.55555556|284  2  0.51  26  ne  2  4671505.2
136  3  0.45  29  e  1  4340287.55555556|285  1  0.54  40  ne  2  4668663.6
136  3  0.45  29  e  1  4340287.55555556|288  3  0.52  30  ne  2  4346380.66666667
136  3  0.45  29  e  1  4340287.55555556|291  3  0.44  39  ne  2  4650226.4
136  3  0.45  29  e  1  4340287.55555556|295  2  0.52  32  ne  2  4662908.8
136  3  0.45  29  e  1  4340287.55555556|297  2  0.45  39  ne  2  4665160.4
136  3  0.45  29  e  1  4340287.55555556|300  1  0.48  24  ne  2  4675324.8
136  3  0.45  29  e  1  4340287.55555556|301  3  0.29  21  ne  2  4345470.44444444
136  3  0.45  29  e  1  4340287.55555556|302  0  0.54  17  ne  2  4678430
136  3  0.45  29  e  1  4340287.55555556|304  2  0.43  38  ne  2  4670796.4
136  3  0.45  29  e  1  4340287.55555556|305  3  0.53  24  ne  2  4347750.88888889
136  3  0.45  29  e  1  4340287.55555556|307  2  0.4  25  ne  2  4364578.66666667
136  3  0.45  29  e  1  4340287.55555556|315  0  0.32  28  ne  2  4675400.8
136  3  0.45  29  e  1  4340287.55555556|317  3  0.52  25  ne  2  4350946.66666667
136  3  0.45  29  e  1  4340287.55555556|319  3  0.64  20  ne  2  4649189.6
136  3  0.45  29  e  1  4340287.55555556|325  0  0.41  17  ne  2  4678916
136  3  0.45  29  e  1  4340287.55555556|328  0  0.41  30  ne  2  4672647.2
136  3  0.45  29  e  1  4340287.55555556|329  1  0.47  32  ne  2  4670185.6
136  3  0.45  29  e  1  4340287.55555556|333  3  0.46  27  ne  2  4349033.77777778
136  3  0.45  29  e  1  4340287.55555556|334  2  0.45  20  ne  2  4668654
136  3  0.45  29  e  1  4340287.55555556|335  0  0.33  15  ne  2  4668958.8
136  3  0.45  29  e  1  4340287.55555556|336  0  0.44  32  ne  2  4678946
136  3  0.45  29  e  1  4340287.55555556|337  3  0.44  35  ne  2  4344845.55555556
136  3  0.45  29  e  1  4340287.55555556|338  0  0.46  24  ne  2  4674922.8
136  3  0.45  29  e  1  4340287.55555556|339  1  0.43  17  ne  2  4671410.4
136  3  0.45  29  e  1  4340287.55555556|342  3  0.41  22  ne  2  4345315.11111111
136  3  0.45  29  e  1  4340287.55555556|345  2  0.49  49  ne  2  4675603.6
136  3  0.45  29  e  1  4340287.55555556|346  3  0.35  33  ne  2  4347838.22222222
136  3  0.45  29  e  1  4340287.55555556|347  0  0.5  26  ne  2  4685581.2
136  3  0.45  29  e  1  4340287.55555556|350  3  0.36  21  ne  2  4346481.55555556
136  3  0.45  29  e  1  4340287.55555556|351  1  0.55  29  ne  2  4668796.8
136  3  0.45  29  e  1  4340287.55555556|352  2  0.47  24  ne  2  4673972
136  3  0.45  29  e  1  4340287.55555556|353  2  0.3  21  ne  2  4662464.8
136  3  0.45  29  e  1  4340287.55555556|354  2  0.5  33  ne  2  4671915.2
136  3  0.45  29  e  1  4340287.55555556|355  0  0.56  22  ne  2  4690647.6
136  3  0.45  29  e  1  4340287.55555556|356  0  0.62  29  ne  2  4688564
136  3  0.45  29  e  1  4340287.55555556|360  3  0.47  33  ne  2  4652584.8
136  3  0.45  29  e  1  4340287.55555556|361  2  0.25  35  ne  2  4663952.4
136  3  0.45  29  e  1  4340287.55555556|363  3  0.41  29  ne  2  4350367.77777778
136  3  0.45  29  e  1  4340287.55555556|364  3  0.47  41  ne  2  4348796.22222222
136  3  0.45  29  e  1  4340287.55555556|365  3  0.54  18  ne  2  4346579.33333333
136  3  0.45  29  e  1  4340287.55555556|366  0  0.43  31  ne  2  4675848.4
136  3  0.45  29  e  1  4340287.55555556|368  3  0.43  28  ne  2  4345925.55555556
136  3  0.45  29  e  1  4340287.55555556|370  1  0.4  16  ne  2  4676637.6
136  3  0.45  29  e  1  4340287.55555556|371  2  0.41  27  ne  2  4365706.88888889
136  3  0.45  29  e  1  4340287.55555556|372  3  0.44  31  ne  2  4651590.4
136  3  0.45  29  e  1  4340287.55555556|373  2  0.39  29  ne  2  4670070.8
136  3  0.45  29  e  1  4340287.55555556|374  2  0.57  27  ne  2  4670006
136  3  0.45  29  e  1  4340287.55555556|375  2  0.64  33  ne  2  4669134
136  3  0.45  29  e  1  4340287.55555556|376  3  0.41  27  ne  2  4345844.88888889
136  3  0.45  29  e  1  4340287.55555556|379  0  0.4  32  ne  2  4674304.8
136  3  0.45  29  e  1  4340287.55555556|380  2  0.35  35  ne  2  4664924.8
136  3  0.45  29  e  1  4340287.55555556|381  0  0.52  25  ne  2  4682330.4
136  3  0.45  29  e  1  4340287.55555556|383  1  0.38  29  ne  2  4680736.4
136  3  0.45  29  e  1  4340287.55555556|385  3  0.33  23  ne  2  4345947.33333333
136  3  0.45  29  e  1  4340287.55555556|387  3  0.51  30  ne  2  4346434.66666667
136  3  0.45  29  e  1  4340287.55555556|388  3  0.59  37  ne  2  4648369.2
136  3  0.45  29  e  1  4340287.55555556|393  3  0.47  27  ne  2  4350418.66666667
136  3  0.45  29  e  1  4340287.55555556|396  3  0.4  35  ne  2  4347649.55555556
136  3  0.45  29  e  1  4340287.55555556|397  0  0.5  33  ne  2  4678408
136  3  0.45  29  e  1  4340287.55555556|398  3  0.38  30  ne  2  4348832.88888889
136  3  0.45  29  e  1  4340287.55555556|401  3  0.22  20  ne  2  4347282.88888889
136  3  0.45  29  e  1  4340287.55555556|404  1  0.48  21  ne  2  4686730
136  3  0.45  29  e  1  4340287.55555556|405  1  0.45  14  ne  2  4673132.8
136  3  0.45  29  e  1  4340287.55555556|413  0  0.43  17  ne  2  4677342.8
136  3  0.45  29  e  1  4340287.55555556|414  3  0.53  25  ne  2  4349719.33333333
136  3  0.45  29  e  1  4340287.55555556|415  3  0.6  23  ne  2  4350108.66666667
136  3  0.45  29  e  1  4340287.55555556|416  0  0.52  23  ne  2  4674733.6
136  3  0.45  29  e  1  4340287.55555556|418  2  0.45  31  ne  2  4667690.4
136  3  0.45  29  e  1  4340287.55555556|419  3  0.5  21  ne  2  4346362
136  3  0.45  29  e  1  4340287.55555556|420  0  0.46  38  ne  2  4686466.8
136  3  0.45  29  e  1  4340287.55555556|424  3  0.41  26  ne  2  4345392.44444444
136  3  0.45  29  e  1  4340287.55555556|425  0  0.44  26  ne  2  4676548
136  3  0.45  29  e  1  4340287.55555556|428  0  0.49  25  ne  2  4683847.6
136  3  0.45  29  e  1  4340287.55555556|429  3  0.4  33  ne  2  4344955.33333333
136  3  0.45  29  e  1  4340287.55555556|430  2  0.44  34  ne  2  4669462
136  3  0.45  29  e  1  4340287.55555556|432  1  0.52  28  ne  2  4683380.4
136  3  0.45  29  e  1  4340287.55555556|433  1  0.55  26  ne  2  4676780.4
136  3  0.45  29  e  1  4340287.55555556|440  3  0.44  26  ne  2  4645755.2
136  3  0.45  29  e  1  4340287.55555556|442  3  0.44  12  ne  2  4641251.6
136  3  0.45  29  e  1  4340287.55555556|443  2  0.5  26  ne  2  4671670.8
136  3  0.45  29  e  1  4340287.55555556|448  3  0.4  29  ne  2  4349706
136  3  0.45  29  e  1  4340287.55555556|450  2  0.42  22  ne  2  4664186
136  3  0.45  29  e  1  4340287.55555556|452  0  0.37  33  ne  2  4672812.8
136  3  0.45  29  e  1  4340287.55555556|454  0  0.42  31  ne  2  4674478.8
136  3  0.45  29  e  1  4340287.55555556|456  2  0.5  22  ne  2  4363837.33333333
136  3  0.45  29  e  1  4340287.55555556|457  3  0.52  34  ne  2  4650103.6
136  3  0.45  29  e  1  4340287.55555556|459  3  0.54  31  ne  2  4345846.66666667
136  3  0.45  29  e  1  4340287.55555556|461  2  0.4  20  ne  2  4667654.8
136  3  0.45  29  e  1  4340287.55555556|463  3  0.49  38  ne  2  4349399.55555556
136  3  0.45  29  e  1  4340287.55555556|464  2  0.4  24  ne  2  4669662.4
136  3  0.45  29  e  1  4340287.55555556|469  2  0.64  24  ne  2  4676418.8
136  3  0.45  29  e  1  4340287.55555556|471  3  0.41  27  ne  2  4345615.55555556
136  3  0.45  29  e  1  4340287.55555556|475  3  0.55  31  ne  2  4352296.66666667
136  3  0.45  29  e  1  4340287.55555556|478  3  0.47  41  ne  2  4348829.77777778
136  3  0.45  29  e  1  4340287.55555556|485  3  0.56  22  ne  2  4342649.33333333
136  3  0.45  29  e  1  4340287.55555556|486  0  0.42  35  ne  2  4684032.8
136  3  0.45  29  e  1  4340287.55555556|491  3  0.54  12  ne  2  4651268
214  3  0.19  26  e  1  4345838.44444444|280  3  0.19  28  ne  2  4345448.44444444
214  3  0.19  26  e  1  4345838.44444444|282  1  0.06  20  ne  2  4669137.6
214  3  0.19  26  e  1  4345838.44444444|287  3  0.2  32  ne  2  4647724.4
214  3  0.19  26  e  1  4345838.44444444|289  2  0.16  25  ne  2  4667171.6
214  3  0.19  26  e  1  4345838.44444444|293  3  0.1  28  ne  2  4346802.44444444
214  3  0.19  26  e  1  4345838.44444444|298  2  0.18  34  ne  2  4670477.2
214  3  0.19  26  e  1  4345838.44444444|299  3  0.29  16  ne  2  4343236.88888889
214  3  0.19  26  e  1  4345838.44444444|303  3  0.13  21  ne  2  4647573.6
214  3  0.19  26  e  1  4345838.44444444|309  3  0.26  29  ne  2  4347423.11111111
214  3  0.19  26  e  1  4345838.44444444|310  1  0.2  14  ne  2  4661517.6
214  3  0.19  26  e  1  4345838.44444444|312  3  0.12  26  ne  2  4346154
214  3  0.19  26  e  1  4345838.44444444|313  1  0.12  28  ne  2  4672954
214  3  0.19  26  e  1  4345838.44444444|314  0  0.29  13  ne  2  4677724.4
214  3  0.19  26  e  1  4345838.44444444|316  1  0.1  36  ne  2  4365684.44444444
214  3  0.19  26  e  1  4345838.44444444|318  3  0.05  26  ne  2  4347660.66666667
214  3  0.19  26  e  1  4345838.44444444|321  0  0.22  44  ne  2  4665852.8
214  3  0.19  26  e  1  4345838.44444444|322  2  0.12  28  ne  2  4671879.2
214  3  0.19  26  e  1  4345838.44444444|323  2  0.21  29  ne  2  4362019.77777778
214  3  0.19  26  e  1  4345838.44444444|324  1  0.2  5  ne  2  4668159.6
214  3  0.19  26  e  1  4345838.44444444|326  3  0.2  26  ne  2  4650054
214  3  0.19  26  e  1  4345838.44444444|327  1  0.32  33  ne  2  4674892.8
214  3  0.19  26  e  1  4345838.44444444|331  0  0.26  28  ne  2  4673219.6
214  3  0.19  26  e  1  4345838.44444444|332  3  0.18  42  ne  2  4345173.77777778
214  3  0.19  26  e  1  4345838.44444444|340  1  0.27  20  ne  2  4671034.8
214  3  0.19  26  e  1  4345838.44444444|343  1  0.19  14  ne  2  4361670
214  3  0.19  26  e  1  4345838.44444444|349  3  0.02  33  ne  2  4350841.11111111
214  3  0.19  26  e  1  4345838.44444444|359  2  0.15  21  ne  2  4668250.8
214  3  0.19  26  e  1  4345838.44444444|362  2  0.09  16  ne  2  4669661.6
214  3  0.19  26  e  1  4345838.44444444|367  3  0.12  35  ne  2  4348834.66666667
214  3  0.19  26  e  1  4345838.44444444|369  3  0.24  30  ne  2  4348936
214  3  0.19  26  e  1  4345838.44444444|377  3  0.19  37  ne  2  4348290.88888889
214  3  0.19  26  e  1  4345838.44444444|378  3  0.16  27  ne  2  4346984.66666667
214  3  0.19  26  e  1  4345838.44444444|384  0  0.17  19  ne  2  4671698
214  3  0.19  26  e  1  4345838.44444444|389  2  0.07  41  ne  2  4664527.6
214  3  0.19  26  e  1  4345838.44444444|390  1  0.18  22  ne  2  4666804.8
214  3  0.19  26  e  1  4345838.44444444|391  0  0.02  27  ne  2  4667339.2
214  3  0.19  26  e  1  4345838.44444444|394  3  0.21  22  ne  2  4346622.44444444
214  3  0.19  26  e  1  4345838.44444444|395  3  0.35  26  ne  2  4347922.88888889
214  3  0.19  26  e  1  4345838.44444444|399  0  0.29  30  ne  2  4668511.6
214  3  0.19  26  e  1  4345838.44444444|402  0  0.13  28  ne  2  4662486.4
214  3  0.19  26  e  1  4345838.44444444|406  3  0.08  24  ne  2  4344207.11111111
214  3  0.19  26  e  1  4345838.44444444|407  3  0.2  19  ne  2  4348440
214  3  0.19  26  e  1  4345838.44444444|408  3  0.36  19  ne  2  4343808.22222222
214  3  0.19  26  e  1  4345838.44444444|412  3  0.21  28  ne  2  4345254.22222222
214  3  0.19  26  e  1  4345838.44444444|421  3  0.24  26  ne  2  4346529.55555556
214  3  0.19  26  e  1  4345838.44444444|422  3  0.1  16  ne  2  4346874.44444444
214  3  0.19  26  e  1  4345838.44444444|423  3  0.16  49  ne  2  4346411.11111111
214  3  0.19  26  e  1  4345838.44444444|426  3  0.08  35  ne  2  4647251.6
214  3  0.19  26  e  1  4345838.44444444|436  0  0.14  13  ne  2  4662668.8
214  3  0.19  26  e  1  4345838.44444444|437  2  0.16  16  ne  2  4665060.4
214  3  0.19  26  e  1  4345838.44444444|438  0  0.31  23  ne  2  4676138.4
214  3  0.19  26  e  1  4345838.44444444|441  3  0.22  24  ne  2  4346565.77777778
214  3  0.19  26  e  1  4345838.44444444|445  1  0.38  17  ne  2  4680421.6
214  3  0.19  26  e  1  4345838.44444444|447  1  0.08  34  ne  2  4668243.2
214  3  0.19  26  e  1  4345838.44444444|449  2  0.07  32  ne  2  4671882.8
214  3  0.19  26  e  1  4345838.44444444|453  2  0.15  29  ne  2  4665177.2
214  3  0.19  26  e  1  4345838.44444444|458  1  0.12  25  ne  2  4672562.4
214  3  0.19  26  e  1  4345838.44444444|460  1  0.16  31  ne  2  4663366.8
214  3  0.19  26  e  1  4345838.44444444|462  3  0.24  19  ne  2  4345192.66666667
214  3  0.19  26  e  1  4345838.44444444|465  3  0.28  14  ne  2  4348065.33333333
214  3  0.19  26  e  1  4345838.44444444|467  3  0.09  18  ne  2  4343976.44444444
214  3  0.19  26  e  1  4345838.44444444|468  3  0.24  19  ne  2  4347106
214  3  0.19  26  e  1  4345838.44444444|470  2  0.27  20  ne  2  4367352
214  3  0.19  26  e  1  4345838.44444444|472  0  0.34  21  ne  2  4679181.6
214  3  0.19  26  e  1  4345838.44444444|474  3  0.3  32  ne  2  4344712.44444444
214  3  0.19  26  e  1  4345838.44444444|476  3  0.11  23  ne  2  4344611.11111111
214  3  0.19  26  e  1  4345838.44444444|477  3  0.26  39  ne  2  4655830
214  3  0.19  26  e  1  4345838.44444444|479  1  0.14  25  ne  2  4668095.2
214  3  0.19  26  e  1  4345838.44444444|480  3  0.15  21  ne  2  4346553.55555556
214  3  0.19  26  e  1  4345838.44444444|481  0  0.24  18  ne  2  4663447.6
214  3  0.19  26  e  1  4345838.44444444|482  3  0.22  7  ne  2  4346680
214  3  0.19  26  e  1  4345838.44444444|483  3  0.17  39  ne  2  4343938
214  3  0.19  26  e  1  4345838.44444444|484  1  0.05  27  ne  2  4360024
214  3  0.19  26  e  1  4345838.44444444|487  3  0.07  19  ne  2  4647757.6
214  3  0.19  26  e  1  4345838.44444444|489  2  0.46  17  ne  2  4667093.6
214  3  0.19  26  e  1  4345838.44444444|490  2  0.19  38  ne  2  4662428.4
273  3  0.2  36  e  1  4341981.77777778|278  3  0.13  39  ne  2  4347950.22222222
