.ID.  localsearch  rho  ants  statusElite  iteration  eliteResults|.ID.  localsearch  rho  ants  statusNew  iteration  newResults
180  3  0.71  28  e  1  4302614|278  3  0.69  32  ne  2  4298251.81818182
180  3  0.71  28  e  1  4302614|279  3  0.74  13  ne  2  4305363.81818182
180  3  0.71  28  e  1  4302614|284  2  0.66  29  ne  2  4729124
180  3  0.71  28  e  1  4302614|285  3  0.65  29  ne  2  4302864
180  3  0.71  28  e  1  4302614|288  3  0.76  18  ne  2  5158962.44444444
180  3  0.71  28  e  1  4302614|289  1  0.64  34  ne  2  4722217.2
180  3  0.71  28  e  1  4302614|291  2  0.79  31  ne  2  4725454.4
180  3  0.71  28  e  1  4302614|292  2  0.79  28  ne  2  4734026.4
180  3  0.71  28  e  1  4302614|295  1  0.67  21  ne  2  4718893.2
180  3  0.71  28  e  1  4302614|296  3  0.87  44  ne  2  5164930.44444444
180  3  0.71  28  e  1  4302614|298  2  0.68  28  ne  2  4718314.4
180  3  0.71  28  e  1  4302614|300  1  0.63  35  ne  2  4723644.8
180  3  0.71  28  e  1  4302614|305  2  0.81  24  ne  2  4735669.2
180  3  0.71  28  e  1  4302614|306  3  0.69  30  ne  2  4302236.72727273
180  3  0.71  28  e  1  4302614|309  3  0.72  45  ne  2  4304102.90909091
180  3  0.71  28  e  1  4302614|311  1  0.83  36  ne  2  4728428
180  3  0.71  28  e  1  4302614|316  2  0.7  23  ne  2  4714788.4
180  3  0.71  28  e  1  4302614|317  0  0.68  23  ne  2  4728945.6
180  3  0.71  28  e  1  4302614|318  0  0.8  35  ne  2  4730672.4
180  3  0.71  28  e  1  4302614|320  3  0.58  32  ne  2  4692532.4
180  3  0.71  28  e  1  4302614|321  3  0.8  43  ne  2  4699459.2
180  3  0.71  28  e  1  4302614|323  3  0.8  19  ne  2  4692456
180  3  0.71  28  e  1  4302614|324  0  0.74  28  ne  2  4727393.2
180  3  0.71  28  e  1  4302614|325  0  0.9  26  ne  2  4745994.4
180  3  0.71  28  e  1  4302614|327  0  0.73  22  ne  2  4729702.8
180  3  0.71  28  e  1  4302614|328  0  0.69  38  ne  2  4724383.2
180  3  0.71  28  e  1  4302614|330  2  0.82  31  ne  2  4709696.4
180  3  0.71  28  e  1  4302614|331  0  0.71  20  ne  2  4742534.8
180  3  0.71  28  e  1  4302614|332  3  0.69  26  ne  2  4304771.27272727
180  3  0.71  28  e  1  4302614|333  2  0.72  22  ne  2  4713098
180  3  0.71  28  e  1  4302614|334  3  0.77  24  ne  2  4305967.45454545
180  3  0.71  28  e  1  4302614|336  3  0.82  30  ne  2  4693790.4
180  3  0.71  28  e  1  4302614|337  3  0.58  23  ne  2  4301596.36363636
180  3  0.71  28  e  1  4302614|338  3  0.72  36  ne  2  4693788.4
180  3  0.71  28  e  1  4302614|339  2  0.62  29  ne  2  4716023.6
180  3  0.71  28  e  1  4302614|340  0  0.63  28  ne  2  4724604.8
180  3  0.71  28  e  1  4302614|342  0  0.66  33  ne  2  4725808.4
180  3  0.71  28  e  1  4302614|343  0  0.83  49  ne  2  4720057.2
